ID,Title,Brand,Model
1,Bosch 347 L Frost Free Double Door 3 Star Refrigerator (KDN43VL40I),Bosch,KDN43VL40I
2,Bosch 415 L Frost Free Double Door 3 Star Refrigerator (KGN46XL40I),Bosch,KGN46XL40I
3,Bosch 332 L Frost Free Triple Door 3 Star Refrigerator (CMC33S05NI),Bosch,CMC33S05NI
4,Bosch 658 L Frost Free Side by Side 3 Star Refrigerator (KAN92VS30I),Bosch,KAN92VS30I
5,Bosch 658 L Frost Free Side by Side 5 Star Refrigerator (KAN92VI35I),Bosch,KAN92VI35I
6,Bosch 599 L Frost Free Double Door 2 Star Refrigerator (KGN56LB41I),Bosch,KGN56LB41I
7,Bosch 636 L Frost Free Side by Side 3 Star Refrigerator (KAD92SB30),Bosch,KAD92SB30
8,Bosch 263 L Frost Free Double Door Top Mount 3 Star Refrigerator (CTC27S03EI),Bosch,CTC27S03EI
9,Bosch 290 L Frost Free Double Door Top Mount 3 Star Refrigerator (CTC29BT3NI),Bosch,CTC29BT3NI
10,Bosch 501 L Frost Free Double Door 2 Star Refrigerator (KDD56XI30I),Bosch,KDD56XI30I
11,Bosch 507 L Frost Free Double Door 2 Star Refrigerator (KDN56XI30I),Bosch,KDN56XI30I
12,Bosch 655 L Frost Free Side by Side 5 Star Refrigerator (KAN92LB35I),Bosch,KAN92LB35I
13,Bosch 347 L Frost Free Double Door 3 Star Refrigerator (KDN43VD40I),Bosch,KDN43VD40I
14,Bosch 347 L Frost Free Double Door 3 Star Refrigerator (KDN43VL30I),Bosch,KDN43VL30I
15,Bosch 347 L Frost Free Double Door 3 Star Refrigerator (KDN43VV30I),Bosch,KDN43VV30I
16,Bosch 288 L Frost Free Double Door 3 Star Refrigerator (KDN30VL30I),Bosch,KDN30VL30I
17,Bosch 288 L Frost Free Double Door 3 Star Refrigerator (KDN30VU30I),Bosch,KDN30VU30I
18,Bosch 347 L Frost Free Double Door 4 Star Refrigerator (KDN43VB40I),Bosch,KDN43VB40I
19,Bosch 350 L Frost Free Double Door 3 Star Refrigerator (KDN43VR30I),Bosch,KDN43VR30I
20,Bosch 327 L Frost Free Double Door 3 Star Refrigerator (KDN42UL30I),Bosch,KDN42UL30I
21,Bosch 330 L Frost Free Double Door 2 Star Refrigerator (KDN42VL30I),Bosch,KDN42VL30I
22,Bosch 505 L Frost Free Double Door 2 Star Refrigerator (KGN57AI40I),Bosch,KGN57AI40I
23,Bosch 618 L Frost Free Side by Side 2 Star Refrigerator (KAN56V40NE),Bosch,KAN56V40NE
24,Bosch 401 L Frost Free Double Door 2 Star Refrigerator (KDN46XI30I),Bosch,KDN46XI30I
25,Bosch 330 L Frost Free Double Door 2 Star Refrigerator (KDN42VD30I),Bosch,KDN42VD30I
26,Bosch 288 L Frost Free Double Door 3 Star Refrigerator (KDN30UL30I),Bosch,KDN30UL30I
27,Bosch 401 L Frost Free Double Door 2 Star Refrigerator (KDD46XI30I),Bosch,KDD46XI30I
28,Bosch 454 L Frost Free Double Door 2 Star Refrigerator (KDN53XI30I),Bosch,KDN53XI30I
29,Bosch 288 L Frost Free Double Door 3 Star Refrigerator (KDN30VN30I),Bosch,KDN30VN30I
30,Bosch 327 L Frost Free Double Door 3 Star Refrigerator (KDN42UB30I),Bosch,KDN42UB30I
31,BPL 95 L Direct Cool Single Door 1 Star Refrigerator (BRC 1100BPMR),BPL,BRC 1100BPMR
32,Croma 170 L Direct Cool Single Door 2 Star Refrigerator (CRAR0215),Croma,CRAR0215
33,Croma 270 L Frost Free Double Door 2 Star Refrigerator (CRLR272FFC259601),Croma,CRLR272FFC259601
34,Croma 307 L Frost Free Double Door 3 Star Refrigerator (CRLR310FFD259607),Croma,CRLR310FFD259607
35,Croma 279 L Frost Free Double Door 2 Star Refrigerator (CRLR280FFC259602),Croma,CRLR280FFC259602
36,Croma 307 L Frost Free Double Door 2 Star Refrigerator (CRLR310FFC259603),Croma,CRLR310FFC259603
37,Croma 259 L Frost Free Double Door 3 Star Refrigerator (CRLR260FFD259606),Croma,CRLR260FFD259606
38,Croma 50 L Direct Cool Single Door 1 Star Refrigerator (CRAR0218),Croma,CRAR0218
39,Croma 347 L Frost Free Double Door 2 Star Refrigerator (CRAR2404),Croma,CRAR2404
40,Croma 310 L Frost Free Double Door 2 Star Refrigerator (CRAR2403),Croma,CRAR2403
41,Croma 225 L Direct Cool Single Door 2 Star Refrigerator (CRAR0214),Croma,CRAR0214
42,Croma 584 L Frost Free Side by Side 3 Star Refrigerator (CRAR2601),Croma,CRAR2601
43,Croma 592 L Frost Free Side by Side 3 Star Refrigerator (CRAR2621),Croma,CRAR2621
44,Croma 263 L Frost Free Double Door 2 Star Refrigerator (CRAR2522),Croma,CRAR2522
45,Croma 541 L Frost Free Double Door 2 Star Refrigerator (CRAR2525),Croma,CRAR2525
46,Croma 170 L Direct Cool Single Door 2 Star Refrigerator (CRLRFC403sD170),Croma,CRLRFC403sD170
47,Croma 170 L Direct Cool Single Door 3 Star Refrigerator (CRAC0211),Croma,CRAC0211
48,Croma 270 L Frost Free Double Door 3 Star Refrigerator (CRAR2386),Croma,CRAR2386
49,Croma 190 L Direct Cool Single Door 3 Star Refrigerator (CRAR0212),Croma,CRAR0212
50,Croma 225 L Direct Cool Single Door 2 Star Refrigerator (CRAR0213),Croma,CRAR0213
51,Croma 92 L Direct Cool Single Door 1 Star Refrigerator (CRLRFC402sD100),Croma,CRLRFC402sD100
52,Croma 170 L Direct Cool Single Door 4 Star Refrigerator (CRAR0208),Croma,CRAR0208
53,Croma 170 L Direct Cool Single Door 3 Star Refrigerator (CRAR0211),Croma,CRAR0211
54,Croma 310 L Frost Free Double Door 3 Star Refrigerator (CRAR2401),Croma,CRAR2401
55,Croma 335 L Frost Free Double Door 3 Star Refrigerator (CRAR2402),Croma,CRAR2402
56,Croma 435 L Frost Free Double Door 1 Star Refrigerator (CRAR2523),Croma,CRAR2523
57,Electrolux 470 L Frost Free Double Door 2 Star Refrigerator (ETB4702AA),Electrolux,ETB4702AA
58,Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator (EN205PTSV),Electrolux,EN205PTSV
59,Electrolux 80 L Direct Cool Single Door 1 Star Refrigerator (HEC091PSH),Electrolux,HEC091PSH
60,Electrolux 47 L Direct Cool Single Door 2 Star Refrigerator (EC060PSH),Electrolux,EC060PSH
61,Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator (EB203EBR),Electrolux,EB203EBR
62,Electrolux 370 L Frost Free Triple Door Refrigerator (EME3700MG),Electrolux,EME3700MG
63,Electrolux 524 L Frost Free French Door Refrigerator (EHE5200SA),Electrolux,EHE5200SA
64,Electrolux 235 L Frost Free Double Door 2 Star Refrigerator (REF EP242LSVHFB),Electrolux,REF EP242LSVHFB
65,Electrolux 190 L Frost Free Double Door 2 Star Refrigerator (REF EP202LSVHFB),Electrolux,REF EP202LSVHFB
66,Electrolux 215 L Direct Cool Single Door 3 Star Refrigerator (Euro Neo EN225PTSV),Electrolux,Euro Neo EN225PTSV
67,Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator (REF EC203PTBRHDB),Electrolux,REF EC203PTBRHDB
68,Electrolux 235 L Frost Free Double Door 2 Star Refrigerator (EP242LMD),Electrolux,EP242LMD
69,Electrolux 170 L Direct Cool Single Door 2 Star Refrigerator (EB183P),Electrolux,EB183P
70,Electrolux 215 L Direct Cool Single Door 5 Star Refrigerator (EN225PTSH),Electrolux,EN225PTSH
71,Electrolux 80 L Direct Cool Single Door 1 Star Refrigerator (EC091PNSH),Electrolux,EC091PNSH
72,Electrolux 245 L Direct Cool Single Door 3 Star Refrigerator (EN255LSCSV),Electrolux,EN255LSCSV
73,Electrolux 150 L Direct Cool Single Door 1 Star Refrigerator (EJ163PT),Electrolux,EJ163PT
74,Electrolux 235 L Frost Free Double Door 2 Star Refrigerator (REF EP242LMDHFB),Electrolux,REF EP242LMDHFB
75,Electrolux 190 L Direct Cool Single Door 2 Star Refrigerator (REF EBP203KSFDA),Electrolux,REF EBP203KSFDA
76,Electrolux 170 L Direct Cool Single Door 3 Star Refrigerator (REF EB183EBRHDA),Electrolux,REF EB183EBRHDA
77,Electrolux 80 L Direct Cool Single Door 1 Star Refrigerator (EC090PSH),Electrolux,EC090PSH
78,Electrolux 150 L Direct Cool Single Door 3 Star Refrigerator (EBP163),Electrolux,EBP163
79,GEM 180 L Direct Cool Single Door 2 Star Refrigerator (DC 1902),GEM,DC 1902
80,Godrej 260 L Frost Free Double Door Top Mount 3 Star Refrigerator (RF EON 260C 35 RCIF),Godrej,RF EON 260C 35 RCIF
81,Godrej 185 L Direct Cool Single Door 2 Star Refrigerator (RD EDGE 200B),Godrej,RD EDGE 200B
82,Godrej 244 L Frost Free Double Door 3 Star Refrigerator (RF EON 244C 35 RCIF),Godrej,RF EON 244C 35 RCIF
83,Godrej 185 L Direct Cool Single Door 3 Star Refrigerator (RD 1853 PM 3.2),Godrej,RD 1853 PM 3.2
84,Godrej 190 L Direct Cool Single Door 5 Star Refrigerator (RD 1905 PTDI 53),Godrej,RD 1905 PTDI 53
85,Godrej 99 L Direct Cool Single Door 2 Star Refrigerator (RD CHAMP 114B),Godrej,RD CHAMP 114B
86,Godrej 255 L Frost Free Double Door 2 Star Refrigerator (RF EON 255B 25 HI),Godrej,RF EON 255B 25 HI
87,Godrej 185 L Direct Cool Single Door 2 Star Refrigerator (RD EDGE 200B 23 WRF PL PR),Godrej,RD EDGE 200B 23 WRF PL PR
88,Godrej 190 L Direct Cool Single Door 5 Star Refrigerator (RD EDGEPRO 205 TAI 5.2),Godrej,RD EDGEPRO 205 TAI 5.2
89,Godrej 231 L Frost Free Double Door 1 Star Refrigerator (RF EON 245A 15 HF),Godrej,RF EON 245A 15 HF
90,Godrej 190 L Direct Cool Single Door 4 Star Refrigerator (RD EDGEPRO 205D 43 TAI),Godrej,RD EDGEPRO 205D 43 TAI
91,Godrej 190 L Direct Cool Single Door 4 Star Refrigerator (RD 1904 PTI 43 SI ST),Godrej,RD 1904 PTI 43 SI ST
92,Godrej 210 L Direct Cool Single Door 3 Star Refrigerator (RD EDGEPRO 225C 33 TAF),Godrej,RD EDGEPRO 225C 33 TAF
93,Godrej 190 L Direct Cool Single Door 3 Star Refrigerator (RD EDGE 205C 33 TAI),Godrej,RD EDGE 205C 33 TAI
94,Godrej 190 L Direct Cool Single Door 5 Star Refrigerator (RD 1905 PTI 53 SI ST),Godrej,RD 1905 PTI 53 SI ST
95,Godrej 190 L Direct Cool Single Door 4 Star Refrigerator (RD 1904 PTDI 43 DI),Godrej,RD 1904 PTDI 43 DI
96,Godrej 253 L Frost Free Double Door 2 Star Refrigerator (RT EONALPHA 270B 25 RI JD WN),Godrej,RT EONALPHA 270B 25 RI JD WN
97,Godrej 215 L Direct Cool Single Door 5 Star Refrigerator (RD UNO 2155 PTDI),Godrej,RD UNO 2155 PTDI
98,Godrej 470 L Frost Free Double Door 3 Star Refrigerator (RT EON VESTA 485MDI3.4),Godrej,RT EON VESTA 485MDI3.4
99,Godrej 251 L Direct Cool Single Door 3 Star Refrigerator (RD EDGESX 266C 33 TAI GL WN),Godrej,RD EDGESX 266C 33 TAI GL WN
100,Godrej 200 L Direct Cool Single Door 3 Star Refrigerator (RD EDGE 215C 33 TAI),Godrej,RD EDGE 215C 33 TAI
101,Godrej 192 L Direct Cool Single Door 2 Star Refrigerator (RD EDGERIO 207B 23 TRF),Godrej,RD EDGERIO 207B 23 TRF
102,Godrej 190 L Direct Cool Single Door 3 Star Refrigerator (RD 1903 PTD 33),Godrej,RD 1903 PTD 33
103,Godrej 200 L Direct Cool Single Door 4 Star Refrigerator (RD EDGE 215D 43 TDI),Godrej,RD EDGE 215D 43 TDI
104,Godrej 210 L Direct Cool Single Door 4 Star Refrigerator (RD EDGEPRO 225D 43 TAI),Godrej,RD EDGEPRO 225D 43 TAI
105,Godrej 190 L Direct Cool Single Door 5 Star Refrigerator (RD EPRO 205 TDI 5.2),Godrej,RD EPRO 205 TDI 5.2
106,Godrej 430 L Frost Free Double Door Bottom Mount 3 Star Refrigerator (RB NXW AURA 445MDI 3.4),Godrej,RB NXW AURA 445MDI 3.4
107,Godrej 564 L Frost Free Side by Side Refrigerator (RS Eonvelvet 579 RFD PL ST),Godrej,RS Eonvelvet 579 RFD PL ST
108,Godrej 190 L Direct Cool Single Door 4 Star Refrigerator (RD EDGEPRO 205D 43 TAI JW WN),Godrej,RD EDGEPRO 205D 43 TAI JW WN
109,Godrej 190 L Direct Cool Single Door 3 Star Refrigerator (RD EDGEPRO 205C 33 TAF),Godrej,RD EDGEPRO 205C 33 TAF
110,Haier 190 L Direct Cool Single Door 3 Star Refrigerator (HED-19TBR),Haier,HED-19TBR
111,Haier 190 L Direct Cool Single Door 2 Star Refrigerator (HRD-1902CMS-E),Haier,HRD-1902CMS-E
112,Haier 258 L Frost Free Double Door 3 Star Refrigerator (HEB-25TDS),Haier,HEB-25TDS
113,Haier 181 L Direct Cool Single Door 2 Star Refrigerator (HED-1812BKS-E),Haier,HED-1812BKS-E
114,Haier 195 L Direct Cool Single Door 4 Star Refrigerator (HED-20CKS),Haier,HED-20CKS
115,Haier 258 L Frost Free Double Door 3 Star Refrigerator (HEF-25TDS),Haier,HEF-25TDS
116,Haier 258 L Frost Free Double Door 3 Star Refrigerator (HRF-2783CKG-E),Haier,HRF-2783CKG-E
117,Haier 220 L Direct Cool Single Door 4 Star Refrigerator (HED-22CFDS),Haier,HED-22CFDS
118,Haier 258 L Frost Free Double Door 2 Star Refrigerator (HEF-25TGS),Haier,HEF-25TGS
119,Haier 345 L Frost Free Double Door 3 Star Refrigerator (HEF 35TKS),Haier,HEF 35TKS
120,Haier 320 L Frost Free Double Door 3 Star Refrigerator (HRB-3404PSG-E),Haier,HRB-3404PSG-E
121,Haier 256 L Frost Free Double Door 3 Star Refrigerator (HRB 2764CIS E),Haier,HRB 2764CIS E
122,Haier 570 L Frost Free Side by Side 5 Star Refrigerator (HRF-622KS),Haier,HRF-622KS
123,Haier 195 L Direct Cool Single Door 4 Star Refrigerator (HRD 1954CRP E),Haier,HRD 1954CRP E
124,Haier 570 L Frost Free Side by Side Refrigerator (HRF-622SS),Haier,HRF-622SS
125,Haier 195 L Direct Cool Single Door 4 Star Refrigerator (HRD-1954PMG-F),Haier,HRD-1954PMG-F
126,Haier 100 L Frost Free Single Door 5 Star Refrigerator (HCF-100HTQ),Haier,HCF-100HTQ
127,Haier 256 L Frost Free Double Door 4 Star Refrigerator (HRB-2764PSG-E),Haier,HRB-2764PSG-E
128,Haier 258 L Frost Free Double Door 3 Star Refrigerator (HRF-2783BKS-E),Haier,HRF-2783BKS-E
129,Haier 340 L Air Flow Single Door 5 Star Refrigerator (HVC-340G),Haier,HVC-340G
130,Haier 531 L Frost Free Side by Side 3 Star Refrigerator (HRB-550KG),Haier,HRB-550KG
131,Haier 256 L Frost Free Double Door 4 Star Refrigerator (HRB-2764PMG-E),Haier,HRB-2764PMG-E
132,Haier 570 L Frost Free Side by Side Inverter Technology Refrigerator (HRF-622KG),Haier,HRF-622KG
133,Haier 195 L Direct Cool Single Door 4 Star Refrigerator (HRD-1954CBS-E),Haier,HRD-1954CBS-E
134,Haier 320 L Frost Free Double Door 2 Star Refrigerator (HRB-3404PMG-E),Haier,HRB-3404PMG-E
135,Haier 258 L Frost Free Double Door 3 Star Refrigerator (HRF-2783CRB-E),Haier,HRF-2783CRB-E
136,Haier 195 L Direct Cool Single Door 5 Star Refrigerator (HRD-1955CBS-E),Haier,HRD-1955CBS-E
137,Haier 276 L Frost Free Double Door Bottom Mount 3 Star Refrigerator (HRB-2964PSG-E),Haier,HRB-2964PSG-E
138,Haier 192 L Direct Cool Single Door 3 Star Refrigerator (HRD-1923PMG-E),Haier,HRD-1923PMG-E
139,Haier 278 L Frost Free Double Door 3 Star Refrigerator (HEF-27TMS-E),Haier,HEF-27TMS-E
140,Hisense 564 L Frost Free Side by Side Refrigerator (RS564N4SBNW),Hisense,RS564N4SBNW
141,Hisense 507 L Frost Free French Door Refrigerator (RQ507N4SSVW),Hisense,RQ507N4SSVW
142,Hisense 564 L Frost Free Side by Side Refrigerator (RS564N4SSNW),Hisense,RS564N4SSNW
143,Hisense 411 L Frost Free Double Door 2 Star Refrigerator (RT488N4ASB2),Hisense,RT488N4ASB2
144,Hitachi 601 L Frost Free Double Door 2 Star Refrigerator (R-VG660PND7-GGR),Hitachi,R-VG660PND7-GGR
145,Hitachi 375 L Frost Free Double Door 2 Star Refrigerator (R-VG400PND8-GBK),Hitachi,R-VG400PND8-GBK
146,Hitachi 525 L Frost Free Double Door Bottom Mount 2 Star Refrigerator (R-B570PND7-GBW),Hitachi,R-B570PND7-GBW
147,Hitachi 466 L Frost Free Double Door 3 Star Refrigerator (RB500PND6),Hitachi,RB500PND6
148,Hitachi 415 L Frost Free Double Door 2 Star Refrigerator (R-VG440PND8-GBK),Hitachi,R-VG440PND8-GBK
149,Hitachi 489 L Frost Free Double Door 2 Star Refrigerator (R-VG540PND7-GGR),Hitachi,R-VG540PND7-GGR
150,Hitachi 650 L Frost Free Side by Side Inverter Technology Refrigerator (RWB730PND5),Hitachi,RWB730PND5
151,Hitachi 510 L Frost Free French Door Bottom Mount 3 Star Refrigerator (R-WB560PND9-GBW),Hitachi,R-WB560PND9-GBW
152,Hitachi 659 L Frost Free Side by Side Inverter Technology Refrigerator (RS700PND2),Hitachi,RS700PND2
153,Hitachi 451 L Frost Free Multi Door 5 Star Refrigerator (R-WB490PND9-GBW),Hitachi,R-WB490PND9-GBW
154,Hitachi 443 L Frost Free Double Door 2 Star Refrigerator (R-VG470PND8-GBK),Hitachi,R-VG470PND8-GBK
155,Hitachi 451 L Frost Free Double Door 2 Star Refrigerator (RVG470PND3),Hitachi,RVG470PND3
156,Hitachi 404 L Frost Free Triple Door 5 Star Refrigerator (RSG38FPND),Hitachi,RSG38FPND
157,Hitachi 342 L Frost Free Triple Door Inverter Technology Refrigerator (RSG32FPND),Hitachi,RSG32FPND
158,Hitachi 638 L Frost Free Side by Side 5 Star Refrigerator (RW720FPND1X),Hitachi,RW720FPND1X
159,Hitachi 318 L Frost Free Double Door 3 Star Refrigerator (RH350PND4K),Hitachi,RH350PND4K
160,Hitachi 563 L Frost Free Side by Side Inverter Technology Refrigerator (RW610PND4),Hitachi,RW610PND4
161,Hitachi 700 L Frost Free Side by Side Inverter Technology Refrigerator (RWB800PND5),Hitachi,RWB800PND5
162,Hitachi 251 L Frost Free Double Door Inverter Technology Refrigerator (RT260END1K),Hitachi,RT260END1K
163,Hitachi 651 L Frost Free Side by Side Refrigerator (RM700GPND2),Hitachi,RM700GPND2
164,Hitachi 601 L Frost Free Double Door 2 Star Refrigerator (RVG660PND3),Hitachi,RVG660PND3
165,Hitachi 647 L Frost Free Double Door Bottom Mount 3 Star Refrigerator (R-WB730PND6X-XGR),Hitachi,R-WB730PND6X-XGR
166,Hitachi 451 L Frost Free Double Door 3 Star Refrigerator (RV470PND3K),Hitachi,RV470PND3K
167,Hitachi 415 L Frost Free Double Door 3 Star Refrigerator (RV440PND3K),Hitachi,RV440PND3K
168,Hitachi 289 L Frost Free Double Door 3 Star Refrigerator (RH310PND4K),Hitachi,RH310PND4K
169,Hitachi 382 L Frost Free Double Door 3 Star Refrigerator (RV400PND3K),Hitachi,RV400PND3K
170,Hitachi 700 L Frost Free French Door Refrigerator (WB800PNDS),Hitachi,WB800PNDS
171,Hitachi 651 L Frost Free Side by Side Refrigerator (RM700AGPNDX),Hitachi,RM700AGPNDX
172,Hitachi 601 L Frost Free Double Door 4 Star Refrigerator (RV660PND3KX),Hitachi,RV660PND3KX
173,Hitachi 456 L Frost Free Triple Door 5 Star Refrigerator (B80PND2GBW),Hitachi,B80PND2GBW
174,Hyundai 563 L Frost Free Double Door Refrigerator (HGP563Z BM RSW),Hyundai,HGP563Z BM RSW
175,Kelvinator 95 L Direct Cool Single Door 1 Star Refrigerator (KRC-A110SGP),Kelvinator,KRC-A110SGP
176,Kelvinator 190 L Direct Cool Single Door 2 Star Refrigerator (KRD A210 MRP),Kelvinator,KRD A210 MRP
177,Kelvinator 190 L Direct Cool Single Door 2 Star Refrigerator (KRD A210HSP),Kelvinator,KRD A210HSP
178,Kelvinator 170 L Direct Cool Single Door 3 Star Refrigerator (KRD A190MRP),Kelvinator,KRD A190MRP
179,Kelvinator 190 L Direct Cool Single Door 3 Star Refrigerator (KW203PMHFDA),Kelvinator,KW203PMHFDA
